"","words","realpseudo","block","order","b_i","se","group"
"1","ablood","pseudo","B",73,-0.43,0.26,""
"2","accustomed","real","B",37,2.11,0.33,""
"3","agreed","real","C",23,-0.55,0.27,"2"
"4","albust","pseudo","C",62,-0.45,0.27,"2"
"5","alk","pseudo","C",48,-1.32,0.29,"2"
"6","almost","real","C",30,-1.56,0.29,"1"
"7","an","real","C",33,0.94,0.32,"4"
"8","ancrusinishness","pseudo","A",51,-0.38,0.28,""
"9","animal","real","B",12,-1.51,0.3,""
"10","answer","real","A",20,-1.26,0.28,""
"11","ap","pseudo","C",39,-1.09,0.29,"2"
"12","appropriates","real","C",38,2.13,0.35,"4"
"13","arm","real","A",16,-0.78,0.27,""
"14","arsher","pseudo","A",46,0.2,0.27,""
"15","asca","pseudo","B",42,-1.74,0.29,""
"16","ase","pseudo","B",52,-0.37,0.27,""
"17","baafness","pseudo","B",62,-0.7,0.27,""
"18","back","real","A",10,-1.7,0.32,""
"19","bads","pseudo","A",76,4.78,1.03,""
"20","bangs","real","B",8,0.81,0.3,""
"21","banny","pseudo","C",64,0.1,0.26,"3"
"22","bathroom","real","B",79,-1.86,0.29,""
"23","become","real","A",5,-2.17,0.31,""
"24","beeltisul","pseudo","A",63,-0.71,0.27,""
"25","begin","real","C",34,-1.45,0.29,"2"
"26","benon","pseudo","B",59,-0.44,0.27,""
"27","besime","pseudo","B",68,-0.26,0.27,""
"28","best","real","A",18,-1.51,0.29,""
"29","black","real","A",4,-1.88,0.32,""
"30","blans","pseudo","A",47,-0.17,0.26,""
"31","bledge","pseudo","A",49,0.15,0.28,""
"32","bove","pseudo","B",46,-0.34,0.27,""
"33","brought","real","A",15,-0.98,0.28,""
"34","brubs","pseudo","C",68,-0.69,0.27,"2"
"35","brush","real","B",34,-1.67,0.3,""
"36","budget","real","B",14,0.46,0.27,""
"37","building","real","B",16,-1.2,0.27,""
"38","bulbet","pseudo","A",66,0.13,0.27,""
"39","business","real","B",31,-0.87,0.26,""
"40","candy","real","C",5,-1.67,0.29,"1"
"41","cas","pseudo","C",49,-0.89,0.28,"2"
"42","chance","real","C",18,-0.45,0.28,"2"
"43","chanding","pseudo","C",75,1.21,0.29,"4"
"44","chareet","pseudo","B",84,0.43,0.28,""
"45","charks","pseudo","B",51,0.21,0.27,""
"46","che","pseudo","C",53,-1.51,0.28,"1"
"47","cibsus","pseudo","A",55,-0.71,0.27,""
"48","circus","real","B",21,-0.17,0.27,""
"49","clomify","pseudo","B",50,-0.1,0.28,""
"50","cok","pseudo","C",42,-1.77,0.3,"1"
"51","cold","real","B",78,-1.81,0.3,""
"52","collosks","pseudo","C",65,-0.73,0.27,"2"
"53","come","real","B",6,-2.18,0.31,""
"54","complase","pseudo","B",74,2.06,0.33,""
"55","complete","real","C",25,-1.41,0.27,"2"
"56","compliment","real","C",27,-0.29,0.27,"2"
