word,realpseudo,block,order
by,real,practice,1
how,real,practice,2
set,real,practice,3
after,real,practice,4
determine,real,practice,5
py,pseudo,practice,6
hom,pseudo,practice,7
tet,pseudo,practice,8
auler,pseudo,practice,9
deterbals,pseudo,practice,10
play,real,A,1
we,real,A,2
miss,real,A,3
black,real,A,4
become,real,A,5
sun,real,A,6
shine,real,A,7
liberty,real,A,8
however,real,A,9
back,real,A,10
without,real,A,11
pickle,real,A,12
resolve,real,A,13
elements,real,A,14
brought,real,A,15
arm,real,A,16
will,real,A,17
best,real,A,18
custom,real,A,19
answer,real,A,20
testify,real,A,21
them,real,A,22
waves,real,A,23
library,real,A,24
from,real,A,25
guess,real,A,26
describe,real,A,27
inside,real,A,28
purchase,real,A,29
faster,real,A,30
mystery,real,A,31
dryer,real,A,32
invent,real,A,33
reverse,real,A,34
once,real,A,35
whose,real,A,36
fatter,real,A,37
telescoped,real,A,38
uoy,pseudo,A,39
fror,pseudo,A,40
om,pseudo,A,41
ujst,pseudo,A,42
inni,pseudo,A,43
wared,pseudo,A,44
leld,pseudo,A,45
arsher,pseudo,A,46
blans,pseudo,A,47
ggnoi,pseudo,A,48
bledge,pseudo,A,49
cuppom,pseudo,A,50
ancrusinishness,pseudo,A,51
crit,pseudo,A,52
ef,pseudo,A,53
ip,pseudo,A,54
cibsus,pseudo,A,55
slellen,pseudo,A,56
tfaer,pseudo,A,57
trood,pseudo,A,58
losh,pseudo,A,59
loms,pseudo,A,60
nied,pseudo,A,61
sint,pseudo,A,62
beeltisul,pseudo,A,63
telechinct,pseudo,A,64
sudsage,pseudo,A,65
bulbet,pseudo,A,66
fattify,pseudo,A,67
hus,pseudo,A,68
groon,pseudo,A,69
strosh,pseudo,A,70
coth,pseudo,A,71
nop,pseudo,A,72
trull,pseudo,A,73
hust,pseudo,A,74
streat,pseudo,A,75
bads,pseudo,A,76
sit,real,A,77
listen,real,A,78
lunch,real,A,79
night,real,A,80
tis,pseudo,A,81
stenil,pseudo,A,82
nulch,pseudo,A,83
ginth,pseudo,A,84
time,real,B,1
plays,real,B,2
moon,real,B,3
left,real,B,4
plane,real,B,5
come,real,B,6
toy,real,B,7
bangs,real,B,8
long,real,B,9
natural,real,B,10
farmer,real,B,11
animal,real,B,12
jewel,real,B,13
budget,real,B,14
into,real,B,15
building,real,B,16
understand,real,B,17
number,real,B,18
went,real,B,19
give,real,B,20
circus,real,B,21
peace,real,B,22
truck,real,B,23
wood,real,B,24
tried,real,B,25
hammer,real,B,26
famous,real,B,27
great,real,B,28
pencil,real,B,29
light,real,B,30
business,real,B,31
pledge,real,B,32
doubtful,real,B,33
brush,real,B,34
street,real,B,35
guarantee,real,B,36
accustomed,real,B,37
potent,real,B,38
hu,pseudo,B,39
ypla,pseudo,B,40
ot,pseudo,B,41
asca,pseudo,B,42
spu,pseudo,B,43
sain,pseudo,B,44
shring,pseudo,B,45
bove,pseudo,B,46
germantia,pseudo,B,47
unger,pseudo,B,48
cotplicant,pseudo,B,49
clomify,pseudo,B,50
charks,pseudo,B,51
ase,pseudo,B,52
jixel,pseudo,B,53
ge,pseudo,B,54
insows,pseudo,B,55
imeyits,pseudo,B,56
mun,pseudo,B,57
roder,pseudo,B,58
benon,pseudo,B,59
yos,pseudo,B,60
lant,pseudo,B,61
baafness,pseudo,B,62
destrifs,pseudo,B,63
wase,pseudo,B,64
speveal,pseudo,B,65
mich,pseudo,B,66
fite,pseudo,B,67
besime,pseudo,B,68
mannanency,pseudo,B,69
mout,pseudo,B,70
sids,pseudo,B,71
flankfopper,pseudo,B,72
ablood,pseudo,B,73
complase,pseudo,B,74
shink,pseudo,B,75
mader,pseudo,B,76
fun,real,B,77
cold,real,B,78
bathroom,real,B,79
teacher,real,B,80
nuf,pseudo,B,81
dolc,pseudo,B,82
throomba,pseudo,B,83
chareet,pseudo,B,84
him,real,C,1
people,real,C,2
open,real,C,3
look,real,C,4
candy,real,C,5
morning,real,C,6
contain,real,C,7
gravel,real,C,8
imagine,real,C,9
watch,real,C,10
sick,real,C,11
lame,real,C,12
investigate,real,C,13
distance,real,C,14
pretty,real,C,15
money,real,C,16
hot,real,C,17
chance,real,C,18
grasshopper,real,C,19
garden,real,C,20
qualify,real,C,21
round,real,C,22
agreed,real,C,23
more,real,C,24
complete,real,C,25
history,real,C,26
compliment,real,C,27
through,real,C,28
short,real,C,29
almost,real,C,30
question,real,C,31
configuration,real,C,32
an,real,C,33
begin,real,C,34
spy,real,C,35
overwhelm,real,C,36
garment,real,C,37
appropriates,real,C,38
ap,pseudo,C,39
khtna,pseudo,C,40
fafever,pseudo,C,41
cok,pseudo,C,42
orn,pseudo,C,43
swane,pseudo,C,44
runey,pseudo,C,45
slace,pseudo,C,46
drustion,pseudo,C,47
alk,pseudo,C,48
cas,pseudo,C,49
oban,pseudo,C,50
pame,pseudo,C,51
hane,pseudo,C,52
che,pseudo,C,53
twew,pseudo,C,54
guoys,pseudo,C,55
phlere,pseudo,C,56
daople,pseudo,C,57
pealt,pseudo,C,58
rebosks,pseudo,C,59
utashing,pseudo,C,60
cotosks,pseudo,C,61
albust,pseudo,C,62
duttery,pseudo,C,63
banny,pseudo,C,64
collosks,pseudo,C,65
molent,pseudo,C,66
liffs,pseudo,C,67
brubs,pseudo,C,68
freat,pseudo,C,69
woft,pseudo,C,70
fistory,pseudo,C,71
scays,pseudo,C,72
naw,pseudo,C,73
snose,pseudo,C,74
chanding,pseudo,C,75
rackle,pseudo,C,76
hello,real,C,77
name,real,C,78
good,real,C,79
hungry,real,C,80
loleh,pseudo,C,81
eamn,pseudo,C,82
dogo,pseudo,C,83
gurynh,pseudo,C,84
