,word,realpseudo,block,order,b_i,se,difficulty,
0,ef,pseudo,A,53,-2.52,0.33,0,
1,ggnoi,pseudo,A,48,-2.37,0.31,0,
2,uoy,pseudo,A,39,-1.95,0.3,0,
3,inni,pseudo,A,43,-1.88,0.3,0,
4,ip,pseudo,A,54,-1.87,0.3,0,
5,om,pseudo,A,41,-1.8,0.3,0,
6,ujst,pseudo,A,42,-1.51,0.28,0,
7,nulch,pseudo,A,83,-1.39,0.28,1,
8,tfaer,pseudo,A,57,-1.28,0.29,1,
9,stenil,pseudo,A,82,-0.99,0.27,1,
10,hus,pseudo,A,68,-0.98,0.26,1,
11,ginth,pseudo,A,84,-0.97,0.28,1,
12,loms,pseudo,A,60,-0.94,0.27,1,
13,fattify,pseudo,A,67,-0.92,0.28,1,
14,tis,pseudo,A,81,-0.85,0.28,2,
15,losh,pseudo,A,59,-0.84,0.27,2,
16,nied,pseudo,A,61,-0.72,0.27,2,
17,beeltisul,pseudo,A,63,-0.71,0.27,2,
18,cibsus,pseudo,A,55,-0.71,0.27,2,
19,nop,pseudo,A,72,-0.7,0.27,2,
20,crit,pseudo,A,52,-0.45,0.27,2,
21,strosh,pseudo,A,70,-0.44,0.27,3,
22,ancrusinishness,pseudo,A,51,-0.38,0.28,3,
23,fror,pseudo,A,40,-0.38,0.26,3,
24,slellen,pseudo,A,56,-0.31,0.26,3,
25,cuppom,pseudo,A,50,-0.25,0.27,3,
26,blans,pseudo,A,47,-0.17,0.26,3,
27,sudsage,pseudo,A,65,-0.1,0.27,3,
28,sint,pseudo,A,62,0.02,0.27,4,
29,bulbet,pseudo,A,66,0.13,0.27,4,
30,bledge,pseudo,A,49,0.15,0.28,4,
31,arsher,pseudo,A,46,0.2,0.27,4,
32,trull,pseudo,A,73,0.2,0.27,4,
33,trood,pseudo,A,58,0.35,0.29,4,
34,leld,pseudo,A,45,0.46,0.28,4,
35,telechinct,pseudo,A,64,0.72,0.28,5,
36,groon,pseudo,A,69,0.92,0.29,5,
37,coth,pseudo,A,71,1.01,0.29,5,
38,hust,pseudo,A,74,1.32,0.3,5,
39,wared,pseudo,A,44,2.36,0.38,5,
40,streat,pseudo,A,75,3.19,0.46,5,
41,bads,pseudo,A,76,4.78,1.03,5,
42,play,real,A,1,-3.26,0.36,0,
43,miss,real,A,3,-2.4,0.32,0,
44,will,real,A,17,-2.29,0.33,0,
45,become,real,A,5,-2.17,0.31,0,
46,sun,real,A,6,-2.07,0.33,0,
47,night,real,A,80,-2.01,0.31,0,
48,black,real,A,4,-1.88,0.32,0,
49,from,real,A,25,-1.86,0.31,1,
50,lunch,real,A,79,-1.86,0.31,1,
51,faster,real,A,30,-1.77,0.3,1,
52,back,real,A,10,-1.7,0.32,1,
53,without,real,A,11,-1.66,0.29,1,
54,library,real,A,24,-1.6,0.29,1,
55,best,real,A,18,-1.51,0.29,1,
56,inside,real,A,28,-1.43,0.29,2,
57,them,real,A,22,-1.33,0.29,2,
58,mystery,real,A,31,-1.27,0.27,2,
59,answer,real,A,20,-1.26,0.28,2,
60,listen,real,A,78,-1.17,0.28,2,
61,brought,real,A,15,-0.98,0.28,2,
62,once,real,A,35,-0.95,0.28,2,
63,waves,real,A,23,-0.95,0.28,3,
64,we,real,A,2,-0.94,0.3,3,
65,however,real,A,9,-0.91,0.27,3,
66,guess,real,A,26,-0.9,0.27,3,
67,arm,real,A,16,-0.78,0.27,3,
68,pickle,real,A,12,-0.7,0.27,3,
69,liberty,real,A,8,-0.64,0.27,3,
70,sit,real,A,77,-0.63,0.3,4,
71,invent,real,A,33,-0.46,0.28,4,
72,custom,real,A,19,-0.45,0.27,4,
73,shine,real,A,7,-0.37,0.27,4,
74,elements,real,A,14,-0.31,0.26,4,
75,describe,real,A,27,-0.27,0.26,4,
76,reverse,real,A,34,-0.25,0.26,4,
77,whose,real,A,36,0,0.28,5,
78,purchase,real,A,29,0.07,0.27,5,
79,resolve,real,A,13,0.15,0.26,5,
80,dryer,real,A,32,0.51,0.27,5,
81,fatter,real,A,37,2.01,0.39,5,
82,testify,real,A,21,2.02,0.33,5,
83,telescoped,real,A,38,2.13,0.4,5,
84,jixel,pseudo,B,53,-2.27,0.32,0,
85,hu,pseudo,B,39,-2.1,0.3,0,
86,ypla,pseudo,B,40,-2.09,0.3,0,
87,dolc,pseudo,B,82,-1.86,0.29,0,
88,nuf,pseudo,B,81,-1.77,0.31,0,
89,asca,pseudo,B,42,-1.74,0.29,0,
90,spu,pseudo,B,43,-1.68,0.29,0,
91,yos,pseudo,B,60,-1.65,0.28,1,
92,ge,pseudo,B,54,-1.54,0.28,1,
93,ot,pseudo,B,41,-1.47,0.28,1,
94,flankfopper,pseudo,B,72,-1.4,0.29,1,
95,mun,pseudo,B,57,-1.37,0.29,1,
96,imeyits,pseudo,B,56,-1.35,0.29,1,
97,destrifs,pseudo,B,63,-1.13,0.28,1,
98,throomba,pseudo,B,83,-1.06,0.27,2,
99,unger,pseudo,B,48,-0.97,0.27,2,
100,insows,pseudo,B,55,-0.92,0.28,2,
101,germantia,pseudo,B,47,-0.77,0.27,2,
102,mannanency,pseudo,B,69,-0.74,0.28,2,
103,baafness,pseudo,B,62,-0.7,0.27,2,
104,benon,pseudo,B,59,-0.44,0.27,2,
105,ablood,pseudo,B,73,-0.43,0.26,3,
106,ase,pseudo,B,52,-0.37,0.27,3,
107,lant,pseudo,B,61,-0.37,0.26,3,
108,bove,pseudo,B,46,-0.34,0.27,3,
109,besime,pseudo,B,68,-0.26,0.27,3,
110,clomify,pseudo,B,50,-0.1,0.28,3,
111,speveal,pseudo,B,65,-0.05,0.27,3,
112,mout,pseudo,B,70,0.17,0.27,4,
113,charks,pseudo,B,51,0.21,0.27,4,
114,cotplicant,pseudo,B,49,0.36,0.28,4,
115,mich,pseudo,B,66,0.38,0.26,4,
116,chareet,pseudo,B,84,0.43,0.28,4,
117,sids,pseudo,B,71,0.6,0.27,4,
118,sain,pseudo,B,44,0.64,0.28,4,
119,fite,pseudo,B,67,0.93,0.28,5,
120,roder,pseudo,B,58,1,0.29,5,
121,shring,pseudo,B,45,1.1,0.29,5,
122,wase,pseudo,B,64,1.37,0.29,5,
123,complase,pseudo,B,74,2.06,0.33,5,
124,mader,pseudo,B,76,2.24,0.35,5,
125,shink,pseudo,B,75,3.05,0.51,5,
126,time,real,B,1,-2.55,0.34,0,
127,light,real,B,30,-2.25,0.31,0,
128,moon,real,B,3,-2.2,0.32,0,
129,come,real,B,6,-2.18,0.31,0,
130,fun,real,B,77,-2.16,0.31,0,
131,number,real,B,18,-2.16,0.3,0,
132,plays,real,B,2,-1.96,0.31,0,
133,bathroom,real,B,79,-1.86,0.29,1,
134,teacher,real,B,80,-1.85,0.3,1,
135,cold,real,B,78,-1.81,0.3,1,
136,give,real,B,20,-1.79,0.3,1,
137,toy,real,B,7,-1.77,0.3,1,
138,long,real,B,9,-1.74,0.3,1,
139,great,real,B,28,-1.72,0.29,1,
140,brush,real,B,34,-1.67,0.3,2,
141,truck,real,B,23,-1.66,0.29,2,
142,into,real,B,15,-1.65,0.31,2,
143,wood,real,B,24,-1.65,0.3,2,
144,went,real,B,19,-1.56,0.29,2,
145,animal,real,B,12,-1.51,0.3,2,
146,understand,real,B,17,-1.49,0.27,2,
147,tried,real,B,25,-1.47,0.28,3,
148,street,real,B,35,-1.45,0.29,3,
149,left,real,B,4,-1.43,0.3,3,
150,peace,real,B,22,-1.28,0.29,3,
151,hammer,real,B,26,-1.26,0.28,3,
152,farmer,real,B,11,-1.25,0.28,3,
153,building,real,B,16,-1.2,0.27,3,
154,pencil,real,B,29,-1.2,0.28,4,
155,famous,real,B,27,-1.09,0.27,4,
156,plane,real,B,5,-1.09,0.28,4,
157,natural,real,B,10,-1.07,0.28,4,
158,business,real,B,31,-0.87,0.26,4,
159,circus,real,B,21,-0.17,0.27,4,
160,jewel,real,B,13,0.25,0.27,4,
161,budget,real,B,14,0.46,0.27,5,
162,bangs,real,B,8,0.81,0.3,5,
163,doubtful,real,B,33,1.21,0.28,5,
164,pledge,real,B,32,1.67,0.31,5,
165,guarantee,real,B,36,1.74,0.3,5,
166,accustomed,real,B,37,2.11,0.33,5,
167,potent,real,B,38,3.81,0.57,5,
168,cok,pseudo,C,42,-1.77,0.3,0,1
169,gurynh,pseudo,C,84,-1.69,0.28,0,1
170,khtna,pseudo,C,40,-1.59,0.28,0,1
171,orn,pseudo,C,43,-1.58,0.29,0,1
172,che,pseudo,C,53,-1.51,0.28,0,1
173,daople,pseudo,C,57,-1.33,0.27,0,2
174,alk,pseudo,C,48,-1.32,0.29,0,2
175,eamn,pseudo,C,82,-1.27,0.28,1,2
176,guoys,pseudo,C,55,-1.27,0.28,1,2
177,loleh,pseudo,C,81,-1.25,0.28,1,2
178,oban,pseudo,C,50,-1.2,0.28,1,2
179,twew,pseudo,C,54,-1.2,0.28,1,2
180,utashing,pseudo,C,60,-1.2,0.28,1,2
181,phlere,pseudo,C,56,-1.1,0.28,1,2
182,ap,pseudo,C,39,-1.09,0.29,2,2
183,rebosks,pseudo,C,59,-0.92,0.27,2,2
184,cas,pseudo,C,49,-0.89,0.28,2,2
185,collosks,pseudo,C,65,-0.73,0.27,2,2
186,brubs,pseudo,C,68,-0.69,0.27,2,2
187,cotosks,pseudo,C,61,-0.68,0.27,2,2
188,dogo,pseudo,C,83,-0.46,0.27,2,2
189,albust,pseudo,C,62,-0.45,0.27,3,2
190,runey,pseudo,C,45,-0.39,0.27,3,2
191,hane,pseudo,C,52,-0.38,0.26,3,2
192,liffs,pseudo,C,67,-0.21,0.27,3,2
193,fafever,pseudo,C,41,-0.18,0.28,3,2
194,pame,pseudo,C,51,-0.18,0.27,3,2
195,duttery,pseudo,C,63,-0.17,0.27,3,2
196,scays,pseudo,C,72,-0.13,0.27,4,2
197,molent,pseudo,C,66,-0.03,0.27,4,2
198,swane,pseudo,C,44,0.05,0.27,4,3
199,banny,pseudo,C,64,0.1,0.26,4,3
200,fistory,pseudo,C,71,0.11,0.26,4,3
201,pealt,pseudo,C,58,0.16,0.28,4,3
202,woft,pseudo,C,70,0.29,0.26,4,3
203,drustion,pseudo,C,47,0.36,0.29,5,3
204,slace,pseudo,C,46,0.45,0.27,5,3
205,naw,pseudo,C,73,0.63,0.3,5,3
206,snose,pseudo,C,74,0.95,0.28,5,4
207,freat,pseudo,C,69,0.99,0.29,5,4
208,chanding,pseudo,C,75,1.21,0.29,5,4
209,rackle,pseudo,C,76,1.41,0.35,5,4
210,people,real,C,2,-2.6,0.33,0,1
211,hello,real,C,77,-2.58,0.33,0,1
212,good,real,C,79,-2.47,0.32,0,1
213,hot,real,C,17,-2.4,0.34,0,1
214,open,real,C,3,-2.28,0.31,0,1
215,look,real,C,4,-2.22,0.32,0,1
216,watch,real,C,10,-2.04,0.3,0,1
217,money,real,C,16,-1.88,0.3,1,1
218,round,real,C,22,-1.88,0.29,1,1
219,more,real,C,24,-1.87,0.32,1,1
220,name,real,C,78,-1.86,0.3,1,1
221,hungry,real,C,80,-1.85,0.3,1,1
222,short,real,C,29,-1.79,0.3,1,1
223,him,real,C,1,-1.78,0.31,1,1
224,candy,real,C,5,-1.67,0.29,2,1
225,morning,real,C,6,-1.61,0.29,2,1
226,almost,real,C,30,-1.56,0.29,2,1
227,begin,real,C,34,-1.45,0.29,2,2
228,through,real,C,28,-1.43,0.29,2,2
229,garden,real,C,20,-1.42,0.29,2,2
230,complete,real,C,25,-1.41,0.27,2,2
231,sick,real,C,11,-1.24,0.29,3,2
232,pretty,real,C,15,-1.16,0.28,3,2
233,history,real,C,26,-1.01,0.28,3,2
234,imagine,real,C,9,-0.94,0.27,3,2
235,question,real,C,31,-0.88,0.27,3,2
236,spy,real,C,35,-0.74,0.27,3,2
237,distance,real,C,14,-0.61,0.27,3,2
238,agreed,real,C,23,-0.55,0.27,4,2
239,chance,real,C,18,-0.45,0.28,4,2
240,compliment,real,C,27,-0.29,0.27,4,2
241,investigate,real,C,13,-0.21,0.26,4,2
242,contain,real,C,7,0.21,0.27,4,3
243,grasshopper,real,C,19,0.21,0.27,4,3
244,lame,real,C,12,0.29,0.28,4,3
245,gravel,real,C,8,0.37,0.28,5,3
246,overwhelm,real,C,36,0.52,0.27,5,3
247,an,real,C,33,0.94,0.32,5,4
248,configuration,real,C,32,1.37,0.3,5,4
249,qualify,real,C,21,1.42,0.29,5,4
250,appropriates,real,C,38,2.13,0.35,5,4
251,garment,real,C,37,2.36,0.36,5,4
